Bin_Center Count
0.00016471963758823765 19512326
0.0004941587127647075 144
0.0008235977879411773 21
0.0011530368631176469 29
0.001482475938294117 11
0.0018119150134705865 8
0.0021413540886470565 7
0.002470793163823526 4
0.002800232238999996 4
0.0031296713141764658 1
0.003459110389352936 0
0.003788549464529406 1
0.004117988539705876 0
0.004447427614882345 1
0.004776866690058815 2
0.005106305765235285 1
0.005435744840411755 2
0.005765183915588225 1
0.006094622990764695 0
0.006424062065941164 0
0.006753501141117634 0
0.0070829402162941035 0
0.0074123792914705736 0
0.007741818366647044 0
0.008071257441823514 0
0.008400696516999984 0
0.008730135592176454 0
0.009059574667352924 0
0.009389013742529392 0
0.009718452817705862 0
0.010047891892882332 0
0.010377330968058802 0
0.010706770043235272 0
0.011036209118411742 0
0.011365648193588212 0
0.011695087268764682 0
0.01202452634394115 0
0.01235396541911762 0
0.01268340449429409 0
0.01301284356947056 0
0.01334228264464703 0
0.0136717217198235 0
0.01400116079499997 0
0.01433059987017644 0
0.014660038945352909 0
0.014989478020529379 0
0.015318917095705849 0
0.015648356170882317 0
0.015977795246058787 0
0.016307234321235257 1
