Orbital_Index Entropy
0 0.30193328044827106
1 0.1148710194781802
2 0.30863914358216127
3 0.12034576323571758
4 0.6408128649954191
5 0.4247878476863428
6 0.6424043986957997
7 0.42593115729035647
8 0.6397453500189748
9 0.4279303450086946
10 0.6411343112720028
11 0.42753516465351227
12 0.6843459417294995
13 0.4497086739055005
14 0.44719981948118537
15 0.3502122614410891
16 0.448070070103211
17 0.34778099979380067
18 0.36165909274308033
19 0.3602471771601415
20 0.3598236015924614
21 0.3591729888846573
22 0.34892337422661934
23 0.4476468468559882
24 0.34922771107792133
25 0.4472172702171899
26 0.4496137390189199
27 0.6841418266491799
28 0.41555887219197746
29 0.6693444735887131
30 0.43974077918240284
31 0.5990932331345955
32 0.4265955724209011
33 0.6425256345508231
34 0.4245091171755325
35 0.639942912104599
36 0.11892657385991626
37 0.30650303011050084
38 0.11483138448103726
39 0.30200872483707364
